frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
312,10384.8,32,490,428,,,,,,,,,,,,,,,
313,10420.8,29,488,451,,,,,,,,,,,,,,,
314,10452.9,29,488,462,,,,,,,,,,,,,,,
315,10485,29,486,462,,,,,,,,,,,,,,,
316,10517,31,485,449,,,,,,,,,,,,,,,
317,10553,32,483,424,,,,,,,,,,,,,,,
318,10585,32,485,392,,,,,,,,,,,,,,,
319,10617,34,486,356,,,,,,,,,,,,,,,
320,10653,34,487,322,,,,,,,,,,,,,,,
321,10685.1,33,487,293,,,,,,,,,,,,,,,
322,10717.3,31,488,275,,,,,,,,,,,,,,,
323,10752.8,30,489,266,,,,,,,,,,,,,,,
324,10785,30,490,271,,,,,,,,,,,,,,,
325,10818.1,32,492,285,,,,,,,,,,,,,,,
326,10853,32,493,310,,,,,,,,,,,,,,,
327,10884.9,33,495,341,,,,,,,,,,,,,,,
328,10916.9,32,496,375,,,,,,,,,,,,,,,
329,10953.1,32,497,408,,,,,,,,,,,,,,,
330,10985.2,31,498,436,,,,,,,,,,,,,,,
331,11017.5,30,498,456,,,,,,,,,,,,,,,
332,11053.4,29,500,463,,,,,,,,,,,,,,,
333,11084.7,30,501,459,,,,,,,,,,,,,,,
334,11117.2,33,501,441,,,,,,,,,,,,,,,
335,11153.1,33,500,413,,,,,,,,,,,,,,,
336,11185.2,34,500,379,,,,,,,,,,,,,,,
337,11217.6,33,501,343,,,,,,,,,,,,,,,
338,11252.8,34,502,309,,,,,,,,,,,,,,,
339,11284.9,32,500,284,,,,,,,,,,,,,,,
340,11316.8,31,500,269,,,,,,,,,,,,,,,
341,11353,29,500,265,,,,,,,,,,,,,,,
342,11387.5,30,499,273,,,,,,,,,,,,,,,
343,11417,33,499,292,,,,,,,,,,,,,,,
344,11453,32,496,320,,,,,,,,,,,,,,,
345,11484.6,33,493,352,,,,,,,,,,,,,,,
