frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
477,15883.7,31,506,707,,,,,,,,,,,,,,,
478,15911.3,30,506,723,,,,,,,,,,,,,,,
479,15947.3,30,506,735,,,,,,,,,,,,,,,
480,15980,29,507,744,,,,,,,,,,,,,,,
481,16011.5,29,508,748,,,,,,,,,,,,,,,
482,16047.1,29,510,746,,,,,,,,,,,,,,,
483,16082.5,30,511,739,,,,,,,,,,,,,,,
484,16114.3,30,513,728,,,,,,,,,,,,,,,
485,16148.1,31,516,713,,,,,,,,,,,,,,,
486,16180.2,32,516,694,,,,,,,,,,,,,,,
487,16211.8,32,518,672,,,,,,,,,,,,,,,
488,16247.2,32,519,651,,,,,,,,,,,,,,,
489,16279.5,31,521,630,,,,,,,,,,,,,,,
490,16311.4,31,523,611,,,,,,,,,,,,,,,
491,16347.6,30,526,596,,,,,,,,,,,,,,,
492,16379.4,29,527,583,,,,,,,,,,,,,,,
493,16411.7,29,529,575,,,,,,,,,,,,,,,
494,16447.8,28,530,572,,,,,,,,,,,,,,,
495,16479.6,28,531,574,,,,,,,,,,,,,,,
496,16512.6,29,531,581,,,,,,,,,,,,,,,
497,16547.9,30,532,592,,,,,,,,,,,,,,,
498,16579.3,30,532,606,,,,,,,,,,,,,,,
499,16611.7,30,531,624,,,,,,,,,,,,,,,
500,16647.1,31,529,644,,,,,,,,,,,,,,,
501,16679.7,31,531,665,,,,,,,,,,,,,,,
502,16711.7,31,529,685,,,,,,,,,,,,,,,
503,16747.3,31,528,704,,,,,,,,,,,,,,,
504,16779.6,30,527,721,,,,,,,,,,,,,,,
505,16811.3,29,524,734,,,,,,,,,,,,,,,
506,16848,29,522,743,,,,,,,,,,,,,,,
507,16881.9,29,521,747,,,,,,,,,,,,,,,
508,16911.5,29,520,746,,,,,,,,,,,,,,,
509,16947.1,29,517,740,,,,,,,,,,,,,,,
510,16979.4,30,515,729,,,,,,,,,,,,,,,
511,17011.4,31,514,714,,,,,,,,,,,,,,,
512,17047.7,32,512,696,,,,,,,,,,,,,,,
513,17079.4,32,509,676,,,,,,,,,,,,,,,
514,17111.4,32,509,655,,,,,,,,,,,,,,,
515,17147.5,32,508,633,,,,,,,,,,,,,,,
516,17179.3,31,506,614,,,,,,,,,,,,,,,
517,17211.5,31,506,598,,,,,,,,,,,,,,,
518,17247.2,30,506,585,,,,,,,,,,,,,,,
519,17279.3,29,505,576,,,,,,,,,,,,,,,
520,17311.4,29,505,573,,,,,,,,,,,,,,,
521,17347.9,29,505,574,,,,,,,,,,,,,,,
522,17379.2,29,505,581,,,,,,,,,,,,,,,
523,17413.6,30,505,592,,,,,,,,,,,,,,,
524,17447,30,506,606,,,,,,,,,,,,,,,
525,17483.7,31,506,623,,,,,,,,,,,,,,,
526,17512,31,506,643,,,,,,,,,,,,,,,
527,17547.6,31,508,663,,,,,,,,,,,,,,,
528,17579.1,31,509,683,,,,,,,,,,,,,,,
529,17611.3,31,510,703,,,,,,,,,,,,,,,
530,17647.3,30,513,719,,,,,,,,,,,,,,,
531,17679.8,29,513,733,,,,,,,,,,,,,,,
532,17716.5,29,516,742,,,,,,,,,,,,,,,
533,17748.1,29,518,746,,,,,,,,,,,,,,,
534,17779.3,29,520,745,,,,,,,,,,,,,,,
535,17811.5,30,521,739,,,,,,,,,,,,,,,
536,17847.3,30,523,728,,,,,,,,,,,,,,,
537,17879.7,31,526,714,,,,,,,,,,,,,,,
538,17911.5,32,527,696,,,,,,,,,,,,,,,
539,17947.1,32,527,676,,,,,,,,,,,,,,,
540,17981.6,31,527,654,,,,,,,,,,,,,,,
541,18011.8,31,528,633,,,,,,,,,,,,,,,
542,18048.2,31,530,615,,,,,,,,,,,,,,,
543,18085.8,30,529,599,,,,,,,,,,,,,,,
544,18111.5,29,530,586,,,,,,,,,,,,,,,
545,18148.7,29,530,577,,,,,,,,,,,,,,,
546,18179.2,29,529,573,,,,,,,,,,,,,,,
547,18211.5,28,528,574,,,,,,,,,,,,,,,
548,18247.2,29,527,580,,,,,,,,,,,,,,,
549,18279.6,30,525,591,,,,,,,,,,,,,,,
550,18312.3,30,523,605,,,,,,,,,,,,,,,
551,18347.5,31,521,622,,,,,,,,,,,,,,,
552,18380,31,520,643,,,,,,,,,,,,,,,
553,18411.7,31,518,662,,,,,,,,,,,,,,,
554,18447.9,31,516,683,,,,,,,,,,,,,,,
555,18481.4,31,515,702,,,,,,,,,,,,,,,
556,18511.4,31,513,720,,,,,,,,,,,,,,,
557,18547.1,30,511,733,,,,,,,,,,,,,,,
558,18579.4,29,509,743,,,,,,,,,,,,,,,
559,18611.5,29,506,747,,,,,,,,,,,,,,,
560,18647.4,29,506,747,,,,,,,,,,,,,,,
561,18679.3,30,504,741,,,,,,,,,,,,,,,
562,18711.5,30,503,731,,,,,,,,,,,,,,,
563,18747.3,32,504,716,,,,,,,,,,,,,,,
564,18779.5,32,504,699,,,,,,,,,,,,,,,
565,18811.4,32,503,678,,,,,,,,,,,,,,,
566,18847.3,32,504,657,,,,,,,,,,,,,,,
567,18879.3,32,505,636,,,,,,,,,,,,,,,
